id,emoji,name,description,keywords
1537,🟨,Yellow Square,"A square shown in the color yellow. May be used to represent anything yellow, including a yellow penalty card in football (soccer).",square shown color yellow penalty card in football
1538,🟩,Green Square,A square shown in the color of green. May be used to represent anything green.,square shown green color of represent anything
1539,🟦,Blue Square,A square shown in the color of blue. May be used to represent anything blue.,square shown blue color of represent anything
1540,🟪,Purple Square,A square shown in the color of purple. May be used to represent anything purple.,square shown purple color of represent anything
1541,🟫,Brown Square,A square shown in the color of brown. May be used to represent anything brown.,square shown brown color of represent anything
1542,⬛,Black Large Square,A square shown in the shade of black. May be used to represent anything black.,square shown black shade of represent anything
1543,⬜,White Large Square,A square shown in the shade of white. May be used to represent anything white.,square shown white shade of represent anything
1544,◼️, Black Medium Square,Black Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015.,Black Medium Square part of Unicode added to Emoji was approved as
1545,◻️, White Medium Square,White Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015.,White Medium Square part of Unicode added to Emoji was approved as
1546,◾,Black Medium-Small Square,Black Medium-Small Square was approved as part of Unicode 3.2 in 2002 under the name “Black Medium Small Square” and added to Emoji 1.0 in 2015.,Black Medium Small Square Medium-Small part of Unicode added to Emoji
1547,◽,White Medium-Small Square,White Medium-Small Square was approved as part of Unicode 3.2 in 2002 under the name “White Medium Small Square” and added to Emoji 1.0 in 2015.,White Medium Small Square Medium-Small part of Unicode added to Emoji
1548,▪️, Black Small Square,Black Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,Black Small Square part of Unicode added to Emoji was approved as
1549,▫️, White Small Square,White Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,White Small Square part of Unicode added to Emoji was approved as
1550,🔶,Large Orange Diamond,A larger version of the small orange diamond emoji.,orange diamond emoji small larger version
1551,🔷,Large Blue Diamond,Large Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Large Blue Diamond part of Unicode added to Emoji was approved as
1552,🔸,Small Orange Diamond,A small version of the large orange diamond emoji.,orange diamond emoji large small version
1553,🔹,Small Blue Diamond,Small Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Small Blue Diamond part of Unicode added to Emoji was approved as
1554,🔺,Red Triangle Pointed Up,Red Triangle Pointed Up was approved as part of Unicode 6.0 in 2010 under the name “Up-Pointing Red Triangle” and added to Emoji 1.0 in 2015.,Red Triangle Pointed Up-Pointing part of Unicode added to Emoji
1555,🔻,Red Triangle Pointed Down,Red Triangle Pointed Down was approved as part of Unicode 6.0 in 2010 under the name “Down-Pointing Red Triangle” and added to Emoji 1.0 in 2015.,Red Triangle Pointed Down-Pointing part of Unicode added to Emoji
1556,💠,Diamond with a Dot,"A glyph that is used for kawaii in Japan, resembling the shape of a flower.",kawaii in Japan resembling the shape flower glyph
1557,🔘,Radio Button,"A radio button user interface element, used in form fields with two or more choices. Differs from a checkbox, in that only one response can be selected.",user interface element radio button
1558,🔳,White Square Button,White Square Button.,White Square Button
1559,🔲,Black Square Button,Black Square Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,Black Square Button part of Unicode added to Emoji was approved as
1560,❤️‍🔥,‍🔥 Heart on Fire,"A heart shown on fire, for extreme or passionate forms of love or lust. Most representative of desire or lust, this emoji may also indicate a sense of burning a past love and moving on.",shown on fire heart extreme or passionate forms desire lust love
1561,❤️‍🩹,‍🩹 Mending Heart,"A heart shown with a bandage across one side; the opposite of a broken heart. May be used to indicate the process of healing, recovery, or to express sympathy for someone going through a difficult time.",heart shown broken side process of healing difficult time
1562,🏁,Chequered Flag,"A flag with black and white squares shown in a checkerboard pattern, used to signal the start or end of a motor car race.",motor car race white squares shown checkerboard pattern flag with black and
1563,🚩,Triangular Flag,"A triangular red flag on a post. Most commonly associated with golf, as shown in the flag in hole emoji.",triangular red flag post
1564,🎌,Crossed Flags,"Two Japanese Flags, crossed at the base. Except on some Samsung devices, which have previously displayed two South Korean flags.",South Korean flags Japanese Flags Samsung devices
1565,🏴,Black Flag,Black Flag was approved as part of Unicode 7.0 in 2014 under the name “Waving Black Flag” and added to Emoji 1.0 in 2015.,Waving Black Flag part of Unicode added to Emoji approved as was
1566,🏳️, White Flag,"A white flag, shown waving on a post. Traditionally used as a sign of surrender, the meaning of this flag as an emoji is less defined.",shown waving white flag post sign of surrender
1567,🏳️‍🌈,‍🌈 Rainbow Flag,"A flag with six colors of the rainbow, generally including red, orange, yellow, green, blue and purple. Commonly used by the LGBT movement as a gay pride flag, or simply pride flag and seen at Pride events.",generally including red blue and purple orange yellow green
1568,🏳️‍⚧️,‍⚧️ Transgender Flag,"A flag with horizontal pale blue and pale pink stripes with a single white stripe in the middle, used as a Transgender or Transgender Pride flag and commonly seen at Pride events.",Transgender Pride flag horizontal pale blue single white stripe pink stripes events
1569,🏴‍☠️,☠️ Pirate Flag,"A skull and crossbones displayed on a black flag, used on pirate ships, also known as a Jolly Roger.",Jolly Roger black flag pirate ships skull and crossbones displayed
1570,🇦🇨, Flag: Ascension Island,"The flag for Ascension Island, which may show as the letters AC on some platforms. This same flag is used for St. Helena and Tristan Da Cunha.",Ascension Island Tristan Da Cunha Helena and flag for platforms
1571,🇦🇩, Flag: Andorra,"The flag for Andorra, which may show as the letters AD on some platforms.",flag for Andorra platforms show letters
1572,🇦🇪, Flag: United Arab Emirates,"The flag for United Arab Emirates, which may show as the letters AE on some platforms.",United Arab Emirates flag for
1573,🇦🇫, Flag: Afghanistan,"The flag for Afghanistan, which may show as the letters AF on some platforms.",flag for Afghanistan platforms show letters
1574,🇦🇬, Flag: Antigua & Barbuda,The Flag: Antigua & Barbuda emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇬 Regional Indicator Symbol Letter G. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Barbuda emoji
1575,🇦🇮, Flag: Anguilla,"The flag for Anguilla, which may show as the letters AI on some platforms.",flag for Anguilla platforms show letters
1576,🇦🇱, Flag: Albania,"The flag for Albania, which may show as the letters AL on some platforms.",flag for Albania platforms show letters
1577,🇦🇲, Flag: Armenia,"The flag for Armenia, which may show as the letters AM on some platforms.",flag for Armenia platforms show letters
1578,🇦🇴, Flag: Angola,"The flag for Angola, which may show as the letters A and O on some platforms.",flag for Angola platforms show letters
1579,🇦🇶, Flag: Antarctica,"The flag for Antarctica, which may show as the letters AQ on some platforms.",flag for Antarctica platforms show letters
1580,🇦🇷, Flag: Argentina,"The flag for Argentina, which may show as the letters AR on some platforms.",flag for Argentina platforms show letters
1581,🇦🇸, Flag: American Samoa,"The flag for American Samoa, which may show as the letters AS on some platforms.",American Samoa flag for platforms show
1582,🇦🇹, Flag: Austria,"The flag for Austria, which may show as the letters AT on some platforms.",flag for Austria platforms show letters
1583,🇦🇺, Flag: Australia,"The flag for Australia, which may show as the letters AU on some platforms.",flag for Australia platforms show letters
1584,🇦🇼, Flag: Aruba,"The flag for Aruba, which may show as the letters AW on some platforms.",flag for Aruba platforms show letters
1585,🇦🇽, Flag: Åland Islands,"The flag for Åland Islands, which may show as the letters AX on some platforms.",Åland Islands flag for platforms show
1586,🇦🇿, Flag: Azerbaijan,"The flag for Azerbaijan, which may show as the letters AZ on some platforms.",flag for Azerbaijan platforms show letters
1587,🇧🇦, Flag: Bosnia & Herzegovina,The Flag: Bosnia & Herzegovina emoji is a flag sequence combining 🇧 Regional Indicator Symbol Letter B and 🇦 Regional Indicator Symbol Letter A. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Herzegovina emoji
1588,🇧🇧, Flag: Barbados,"The flag for Barbados, which may show as the letters BB on some platforms.",flag for Barbados platforms show letters
1589,🇧🇩, Flag: Bangladesh,"The flag for Bangladesh, which may show as the letters BD on some platforms.",flag for Bangladesh platforms show letters
1590,🇧🇪, Flag: Belgium,"The flag for Belgium, which may show as the letters BE on some platforms.",flag for Belgium platforms show letters
1591,🇧🇫, Flag: Burkina Faso,"The flag for Burkina Faso, which may show as the letters BF on some platforms.",Burkina Faso flag for platforms show
1592,🇧🇬, Flag: Bulgaria,"The flag for Bulgaria, which may show as the letters BG on some platforms.",flag for Bulgaria platforms show letters
1593,🇧🇭, Flag: Bahrain,"The flag for Bahrain, which may show as the letters BH on some platforms.",flag for Bahrain platforms show letters
1594,🇧🇮, Flag: Burundi,"The flag for Burundi, which may show as the letters BI on some platforms.",flag for Burundi platforms show letters
1595,🇧🇯, Flag: Benin,"The flag for Benin, which may show as the letters BJ on some platforms.",flag for Benin platforms show letters
1596,🇧🇱, Flag: St. Barthélemy,The Flag: St. Barthélemy emoji is a flag sequence combining 🇧 Regional Indicator Symbol Letter B and 🇱 Regional Indicator Symbol Letter L. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining
1597,🇧🇲, Flag: Bermuda,"The flag for Bermuda, which may show as the letters BM on some platforms.",flag for Bermuda platforms show letters
1598,🇧🇳, Flag: Brunei,"The flag for Brunei Darussalam, which may show as the letters BN on some platforms.",Brunei Darussalam flag for platforms show
1599,🇧🇴, Flag: Bolivia,"The flag for Bolivia, which may show as the letters BO on some platforms.",flag for Bolivia platforms show letters
1600,🇧🇶, Flag: Caribbean Netherlands,"The Caribbean Netherlands, a group of islands in the Caribbean Sea. The design for this emoji is shown as the flag for Bonaire on most platforms.",Caribbean Netherlands Sea group of islands flag for Bonaire
1601,🇧🇷, Flag: Brazil,"The flag for Brazil, which may show as the letters BR on some platforms.",flag for Brazil platforms show letters
1602,🇧🇸, Flag: Bahamas,"The flag for Bahamas, which may show as the letters BS on some platforms.",flag for Bahamas platforms show letters
1603,🇧🇹, Flag: Bhutan,"The flag for Bhutan, which may show as the letters BT on some platforms.",flag for Bhutan platforms show letters
1604,🇧🇻, Flag: Bouvet Island,"The flag for Bouvet Island, which may show as the letters BV on some platforms. This is the same flag as Norway.",Bouvet Island flag for platforms as Norway
1605,🇧🇼, Flag: Botswana,"The flag for Botswana, which may show as the letters BW on some platforms.",flag for Botswana platforms show letters
1606,🇧🇾, Flag: Belarus,"The flag for Belarus, which may show as the letters BY on some platforms.",flag for Belarus platforms show letters
1607,🇧🇿, Flag: Belize,"The flag for Belize, which may show as the letters BZ on some platforms.",flag for Belize platforms show letters
1608,🇨🇦, Flag: Canada,"The flag for Canada, which may show as the letters CA on some platforms.",flag for Canada platforms show letters
1609,🇨🇨, Flag: Cocos (Keeling) Islands,The Flag: Cocos (Keeling) Islands emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇨 Regional Indicator Symbol Letter C. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Islands emoji
1610,🇨🇩, Flag: Congo - Kinshasa,The Flag: Congo - Kinshasa emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇩 Regional Indicator Symbol Letter D. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Kinshasa emoji
1611,🇨🇫, Flag: Central African Republic,"The flag for Central African Republic, which may show as the letters CF on some platforms.",Central African Republic flag for
1612,🇨🇬, Flag: Congo - Brazzaville,The Flag: Congo - Brazzaville emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇬 Regional Indicator Symbol Letter G. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Brazzaville emoji
1613,🇨🇭, Flag: Switzerland,"The flag for Switzerland, which may show as the letters CH on some platforms.",flag for Switzerland platforms show letters
1614,🇨🇮, Flag: Côte d’Ivoire,The Flag: Côte d’Ivoire emoji is a flag sequence combining 🇨 Regional Indicator Symbol Letter C and 🇮 Regional Indicator Symbol Letter I. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter Côte d’Ivoire emoji flag sequence combining
1615,🇨🇰, Flag: Cook Islands,"The flag for Cook Islands, which may show as the letters CK on some platforms.",Cook Islands flag for platforms show
1616,🇨🇱, Flag: Chile,"The flag for Chile, which may show as the letters CL on some platforms.",flag for Chile platforms show letters
1617,🇨🇲, Flag: Cameroon,"The flag for Cameroon, which may show as the letters CM on some platforms.",flag for Cameroon platforms show letters
1618,🇨🇳, Flag: China,"The flag for China, which may show as the letters CN on some platforms.",flag for China platforms show letters
1619,🇨🇴, Flag: Colombia,"The flag for Colombia, which may show as the letters CO on some platforms.",flag for Colombia platforms show letters
1620,🇨🇵, Flag: Clipperton Island,"The flag for Clipperton Island, which may show as the letters CP on some platforms. Uses the same flag as France.",Clipperton Island flag for platforms as France
1621,🇨🇷, Flag: Costa Rica,"The flag for Costa Rica, which may show as the letters CR on some platforms.",Costa Rica flag for platforms show
1622,🇨🇺, Flag: Cuba,"The flag for Cuba, which may show as the letters CU on some platforms.",flag for Cuba platforms show letters
1623,🇨🇻, Flag: Cape Verde,"The flag for Cape Verde, which may show as the letters CV on some platforms.",Cape Verde flag for platforms show
1624,🇨🇼, Flag: Curaçao,"The flag for Curaçao, which may show as the letters CW on some platforms.",flag for Curaçao platforms show letters
1625,🇨🇽, Flag: Christmas Island,"The flag for Christmas Island, which may show as the letters CX on some platforms.",Christmas Island flag for platforms show
1626,🇨🇾, Flag: Cyprus,"The flag for Cyprus, which may show as the letters CY on some platforms.",flag for Cyprus platforms show letters
1627,🇨🇿, Flag: Czechia,"The flag for Czechia, which may show as the letters CZ on some platforms. This was formerly known as Czech Republic.",flag for Czechia Czech Republic platforms show
1628,🇩🇪, Flag: Germany,"The flag for Germany, which may show as the letters DE on some platforms",flag for Germany platforms show letters
1629,🇩🇬, Flag: Diego Garcia,"The flag for Diego Garcia, which may show as the letters DG on some platforms. The same flag is used for British Indian Ocean Territory.",Diego Garcia Indian Ocean Territory British
1630,🇩🇯, Flag: Djibouti,"The flag for Djibouti, which may show as the letters DJ on some platforms.",flag for Djibouti platforms show letters
1631,🇩🇰, Flag: Denmark,"The flag for Denmark, which may show as the letters DK on some platforms.",flag for Denmark platforms show letters
1632,🇩🇲, Flag: Dominica,"The flag for Dominica, which may show as the letters DM on some platforms.",flag for Dominica platforms show letters
1633,🇩🇴, Flag: Dominican Republic,"The flag for Dominican Republic, which may show as the letters DO on some platforms.",Dominican Republic flag for platforms show
1634,🇩🇿, Flag: Algeria,"The flag for Algeria, which may show as the letters DZ on some platforms.",flag for Algeria platforms show letters
1635,🇪🇦, Flag: Ceuta & Melilla,"The flag for Ceuta, Melilla, which may show as the letters EA on some platforms. Uses the same flag as Spain.",Melilla flag for Ceuta platforms as Spain show
1636,🇪🇨, Flag: Ecuador,"The flag for Ecuador, which may show as the letters EC on some platforms.",flag for Ecuador platforms show letters
1637,🇪🇪, Flag: Estonia,"The flag for Estonia, which may show as the letters EE on some platforms.",flag for Estonia platforms show letters
1638,🇪🇬, Flag: Egypt,"The flag for Egypt, which may show as the letters EG on some platforms.",flag for Egypt platforms show letters
1639,🇪🇭, Flag: Western Sahara,"The flag for Western Sahara, which may show as the letters EH on some platforms.",Western Sahara flag for platforms show
1640,🇪🇷, Flag: Eritrea,"The flag for Eritrea, which may show as the letters ER on some platforms.",flag for Eritrea platforms show letters
1641,🇪🇸, Flag: Spain,"The flag for Spain, which may show as the letters ES on some platforms.",flag for Spain platforms show letters
1642,🇪🇹, Flag: Ethiopia,"The flag for Ethiopia, which may show as the letters ET on some platforms.",flag for Ethiopia platforms show letters
1643,🇪🇺, Flag: European Union,"The flag for European Union, which may show as the letters EU on some platforms.",European Union flag for platforms show
1644,🇫🇮, Flag: Finland,"The flag for Finland, which may show as the letters FI on some platforms.",flag for Finland platforms show letters
1645,🇫🇯, Flag: Fiji,"The flag for Fiji, which may show as the letters FJ on some platforms.",flag for Fiji platforms show letters
1646,🇫🇰, Flag: Falkland Islands,"The flag for Falkland Islands (Malvinas), which may show as the letters FK on some platforms.",Falkland Islands flag for Malvinas platforms
1647,🇫🇲, Flag: Micronesia,"The flag for Micronesia, which may show as the letters FM on some platforms.",flag for Micronesia platforms show letters
1648,🇫🇴, Flag: Faroe Islands,"The flag for Faroe Islands, which may show as the letters FO on some platforms.",Faroe Islands flag for platforms show
1649,🇫🇷, Flag: France,"The flag for France, which may show as the letters FR on some platforms.",flag for France platforms show letters
1650,🇬🇦, Flag: Gabon,"The flag for Gabon, which may show as the letters GA on some platforms.",flag for Gabon platforms show letters
1651,🇬🇧, Flag: United Kingdom,"The flag for the United Kingdom, which may show as the letters GB on some platforms. England, Scotland and Wales also have individual emoji flags.",United Kingdom Scotland and Wales individual emoji flags platforms
1652,🇬🇩, Flag: Grenada,"The flag for Grenada, which may show as the letters GD on some platforms.",flag for Grenada platforms show letters
1653,🇬🇪, Flag: Georgia,"The flag for Georgia, which may show as the letters GE on some platforms.",flag for Georgia platforms show letters
1654,🇬🇫, Flag: French Guiana,"The flag for French Guiana, which may show as the letters GF on some platforms.",French Guiana flag for platforms show
1655,🇬🇬, Flag: Guernsey,"The flag for Guernsey, which may show as the letters GG on some platforms.",flag for Guernsey platforms show letters
1656,🇬🇭, Flag: Ghana,"The flag for Ghana, which may show as the letters GH on some platforms.",flag for Ghana platforms show letters
1657,🇬🇮, Flag: Gibraltar,"The flag for Gibraltar, which may show as the letters GI on some platforms.",flag for Gibraltar platforms show letters
1658,🇬🇱, Flag: Greenland,"The flag for Greenland, which may show as the letters GL on some platforms.",flag for Greenland platforms show letters
1659,🇬🇲, Flag: Gambia,"The flag for Gambia, which may show as the letters GM on some platforms.",flag for Gambia platforms show letters
1660,🇬🇳, Flag: Guinea,"The flag for Guinea, which may show as the letters GN on some platforms.",flag for Guinea platforms show letters
1661,🇬🇵, Flag: Guadeloupe,"The flag for Guadeloupe, which may show as the letters GP on some platforms.",flag for Guadeloupe platforms show letters
1662,🇬🇶, Flag: Equatorial Guinea,"The flag for Equatorial Guinea, which may show as the letters GQ on some platforms.",Equatorial Guinea flag for platforms show
1663,🇬🇷, Flag: Greece,"The flag for Greece, which may show as the letters GR on some platforms.",flag for Greece platforms show letters
1664,🇬🇸, Flag: South Georgia & South Sandwich Islands,The Flag: South Georgia & South Sandwich Islands emoji is a flag sequence combining 🇬 Regional Indicator Symbol Letter G and 🇸 Regional Indicator Symbol Letter S. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter South Sandwich Islands emoji
1665,🇬🇹, Flag: Guatemala,"The flag for Guatemala, which may show as the letters GT on some platforms.",flag for Guatemala platforms show letters
1666,🇬🇺, Flag: Guam,"The flag for Guam, which may show as the letters GU on some platforms.",flag for Guam platforms show letters
1667,🇬🇼, Flag: Guinea-Bissau,"The flag for Guinea-Bissau, which may show as the letters GW on some platforms.",flag for Guinea-Bissau platforms show letters
1668,🇬🇾, Flag: Guyana,"The flag for Guyana, which may show as the letters GY on some platforms.",flag for Guyana platforms show letters
1669,🇭🇰, Flag: Hong Kong SAR China,"The flag for Hong Kong, which may show as the letters HK on some platforms.",Hong Kong flag for platforms show
1670,🇭🇲, Flag: Heard & McDonald Islands,"The flag for  Heard & McDonald Islands, which may show as the letters HM on some platforms. This is the same flag as Australia.",McDonald Islands flag for Heard platforms as Australia
1671,🇭🇳, Flag: Honduras,"The flag for Honduras, which may show as the letters HN on some platforms.",flag for Honduras platforms show letters
1672,🇭🇷, Flag: Croatia,"The flag for Croatia, which may show as the letters HR on some platforms.",flag for Croatia platforms show letters
1673,🇭🇹, Flag: Haiti,"The flag for Haiti, which may show as the letters HT on some platforms.",flag for Haiti platforms show letters
1674,🇭🇺, Flag: Hungary,"The flag for Hungary, which may show as the letters HU on some platforms.",flag for Hungary platforms show letters
1675,🇮🇨, Flag: Canary Islands,"The flag for Canary Islands, which may show as the letters IC on some platforms.",Canary Islands flag for platforms show
1676,🇮🇩, Flag: Indonesia,"The flag for Indonesia, which may show as the letters ID on some platforms.",flag for Indonesia platforms show letters
1677,🇮🇪, Flag: Ireland,"The flag for Ireland, which may show as the letters IE on some platforms.",flag for Ireland platforms show letters
1678,🇮🇱, Flag: Israel,"The flag for Israel, which may show as the letters IL on some platforms.",flag for Israel platforms show letters
1679,🇮🇲, Flag: Isle of Man,"The flag for Isle of Man, which may show as the letters IM on some platforms.",Isle of Man flag for platforms show
1680,🇮🇳, Flag: India,"The flag for India, which may show as the letters IN on some platforms.",flag for India platforms show letters
1681,🇮🇴, Flag: British Indian Ocean Territory,"The flag for British Indian Ocean Territory, which may show as the letters IO on some platforms. The same flag is used for Diego Garcia.",Indian Ocean Territory British Diego Garcia
1682,🇮🇶, Flag: Iraq,"The flag for Iraq, which may show as the letters IQ on some platforms.",flag for Iraq platforms show letters
1683,🇮🇷, Flag: Iran,"The flag for Iran, which may show as the letters IR on some platforms.",flag for Iran platforms show letters
1684,🇮🇸, Flag: Iceland,"The flag for Iceland, which may show as the letters IS on some platforms.",flag for Iceland platforms show letters
1685,🇮🇹, Flag: Italy,"The flag for Italy, which may show as the letters IT on some platforms.",flag for Italy platforms show letters
1686,🇯🇪, Flag: Jersey,"The flag for Jersey, which may show as the letters JE on some platforms.",flag for Jersey platforms show letters
1687,🇯🇲, Flag: Jamaica,"The flag for Jamaica, which may show as the letters JM on some platforms.",flag for Jamaica platforms show letters
1688,🇯🇴, Flag: Jordan,"The flag for Jordan, which may show as the letters JO on some platforms.",flag for Jordan platforms show letters
1689,🇯🇵, Flag: Japan,"The flag for Japan, which may show as the letters JP on some platforms.",flag for Japan platforms show letters
1690,🇰🇪, Flag: Kenya,"The flag for Kenya, which may show as the letters KE on some platforms.",flag for Kenya platforms show letters
1691,🇰🇬, Flag: Kyrgyzstan,"The flag for Kyrgyzstan, which may show as the letters KG on some platforms.",flag for Kyrgyzstan platforms show letters
1692,🇰🇭, Flag: Cambodia,"The flag for Cambodia, which may show as the letters KH on some platforms.",flag for Cambodia platforms show letters
1693,🇰🇮, Flag: Kiribati,"The flag for Kiribati, which may show as the letters KI on some platforms.",flag for Kiribati platforms show letters
1694,🇰🇲, Flag: Comoros,"The flag for Comoros, which may show as the letters KM on some platforms.",flag for Comoros platforms show letters
1695,🇰🇳, Flag: St. Kitts & Nevis,The Flag: St. Kitts & Nevis emoji is a flag sequence combining 🇰 Regional Indicator Symbol Letter K and 🇳 Regional Indicator Symbol Letter N. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining Nevis emoji
1696,🇰🇵, Flag: North Korea,"The flag for North Korea, which may show as the letters KP on some platforms.",North Korea flag for platforms show
1697,🇰🇷, Flag: South Korea,"The flag for South Korea, which may show as the letters KR on some platforms.",South Korea flag for platforms show
1698,🇰🇼, Flag: Kuwait,"The flag for Kuwait, which may show as the letters KW on some platforms.",flag for Kuwait platforms show letters
1699,🇰🇾, Flag: Cayman Islands,"The flag for Cayman Islands, which may show as the letters KY on some platforms.",Cayman Islands flag for platforms show
1700,🇰🇿, Flag: Kazakhstan,"The flag for Kazakhstan, which may show as the letters KZ on some platforms.",flag for Kazakhstan platforms show letters
1701,🇱🇦, Flag: Laos,"The flag for Laos, which may show as the letters LA on some platforms.",flag for Laos platforms show letters
1702,🇱🇧, Flag: Lebanon,"The flag for Lebanon, which may show as the letters LB on some platforms.",flag for Lebanon platforms show letters
1703,🇱🇨, Flag: St. Lucia,The Flag: St. Lucia emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇨 Regional Indicator Symbol Letter C. These display as a single emoji on supported platforms.,Regional Indicator Symbol Letter flag sequence combining
1704,🇱🇮, Flag: Liechtenstein,"The flag for Liechtenstein, which may show as the letters LI on some platforms.",flag for Liechtenstein platforms show letters
1705,🇱🇰, Flag: Sri Lanka,"The flag for Sri Lanka, which may show as the letters LK on some platforms.",Sri Lanka flag for platforms show
1706,🇱🇷, Flag: Liberia,"The flag for Liberia, which may show as the letters LR on some platforms.",flag for Liberia platforms show letters
1707,🇱🇸, Flag: Lesotho,"The flag for Lesotho, which may show as the letters LS on some platforms.",flag for Lesotho platforms show letters
1708,🇱🇹, Flag: Lithuania,"The flag for Lithuania, which may show as the letters LT on some platforms.",flag for Lithuania platforms show letters
1709,🇱🇺, Flag: Luxembourg,"The flag for Luxembourg, which may show as the letters LU on some platforms",flag for Luxembourg platforms show letters
1710,🇱🇻, Flag: Latvia,"The flag for Latvia, which may show as the letters LV on some platforms.",flag for Latvia platforms show letters
1711,🇱🇾, Flag: Libya,"The flag for Libya, which may show as the letters LY on some platforms.",flag for Libya platforms show letters
1712,🇲🇦, Flag: Morocco,"The flag for Morocco, which may show as the letters MA on some platforms.",flag for Morocco platforms show letters
1713,🇲🇨, Flag: Monaco,"The flag for Monaco, which may show as the letters MC on some platforms.",flag for Monaco platforms show letters
1714,🇲🇩, Flag: Moldova,"The flag for Moldova, which may show as the letters MD on some platforms.",flag for Moldova platforms show letters
1715,🇲🇪, Flag: Montenegro,"The flag for Montenegro, which may show as the letters ME on some platforms",flag for Montenegro platforms show letters
1716,🇲🇫, Flag: St. Martin,"The flag for St. Martin, which may show as the letters MF on some platforms. This is the French half of the of the Caribbean island of Saint Martin. Not to be confused with Sint Maarten, the Dutch half of the same island.",Saint Martin French half Sint Maarten Caribbean island Dutch platforms
1717,🇲🇬, Flag: Madagascar,"The flag for Madagascar, which may show as the letters MG on some platforms",flag for Madagascar platforms show letters
1718,🇲🇭, Flag: Marshall Islands,"The flag for Marshall Islands, which may show as the letters MH on some platforms.",Marshall Islands flag for platforms show
1719,🇲🇰, Flag: North Macedonia,"The flag for North Macedonia (until 2019: Macedonia), which may show as the letters MK on some platforms.",North Macedonia flag for platforms show
1720,🇲🇱, Flag: Mali,"The flag for Mali, which may show as the letters ML on some platforms.",flag for Mali platforms show letters
1721,🇲🇲, Flag: Myanmar (Burma),"The flag for Myanmar, which may show as the letters MM on some platforms.",flag for Myanmar platforms show letters
1722,🇲🇳, Flag: Mongolia,"The flag for Mongolia, which may show as the letters MN on some platforms.",flag for Mongolia platforms show letters
1723,🇲🇴, Flag: Macao Sar China,"The flag for Macau, which may show as the letters MO on some platforms.",flag for Macau platforms show letters
1724,🇲🇵, Flag: Northern Mariana Islands,"The flag for Northern Mariana Islands, which may show as the letters MP on some platforms.",Northern Mariana Islands flag for
1725,🇲🇶, Flag: Martinique,"The flag for Martinique, which may show as the letters MQ on some platforms.",flag for Martinique platforms show letters
1726,🇲🇷, Flag: Mauritania,"The flag for Mauritania, which may show as the letters MR on some platforms. This design changed in August 2017, adding a red band at the top and bottom.",flag for Mauritania changed in August platforms adding a red top and bottom
1727,🇲🇸, Flag: Montserrat,"The flag for Montserrat, which may show as the letters MS on some platforms.",flag for Montserrat platforms show letters
1728,🇲🇹, Flag: Malta,"The flag for Malta, which may show as the letters MT on some platforms.",flag for Malta platforms show letters
1729,🇲🇺, Flag: Mauritius,"The flag for Mauritius, which may show as the letters MU on some platforms.",flag for Mauritius platforms show letters
1730,🇲🇻, Flag: Maldives,"The flag for Maldives, which may show as the letters MV on some platforms.",flag for Maldives platforms show letters
1731,🇲🇼, Flag: Malawi,"The flag for Malawi, which may show as the letters MW on some platforms.",flag for Malawi platforms show letters
1732,🇲🇽, Flag: Mexico,"The flag for Mexico, which may show as the letters MX on some platforms.",flag for Mexico platforms show letters
1733,🇲🇾, Flag: Malaysia,"The flag for Malaysia, which may show as the letters MY on some platforms.",flag for Malaysia platforms show letters
1734,🇲🇿, Flag: Mozambique,"The flag for Mozambique, which may show as the letters MZ on some platforms.",flag for Mozambique platforms show letters
1735,🇳🇦, Flag: Namibia,"The flag for Namibia, which may show as the letters NA on some platforms.",flag for Namibia platforms show letters
1736,🇳🇨, Flag: New Caledonia,"The flag for New Caledonia, which may show as the letters NC on some platforms.",Caledonia platforms flag show letters
1737,🇳🇪, Flag: Niger,"The flag for Niger, which may show as the letters NE on some platforms.",flag for Niger platforms show letters
