id,emoji,name,description,keywords
417,👓,Glasses,"Prescription glasses, shown with a variety of frames, depending on platform.",Prescription glasses depending on platform variety of frames shown
418,🕶️, Sunglasses,"Sunglasses that can be worn outside for protection from the sun. Often association with connotations of being ""cool"", or leisurely in sunny places.",cool Sunglasses sun worn protection sunny places
419,🥽,Goggles,"Clear safety goggles. When this emoji was approved in 2018 it was implied to be safety goggles rather than swimming goggles. A year later 🤿 Diving Mask, which is similar in design but used to represent swimming goggles rather than safety goggles, was approved.",Clear safety goggles swimming Diving Mask
420,🥼,Lab Coat,A white coat worn in a science laboratory.,white coat worn science laboratory
421,🦺,Safety Vest,An orange safety vest with reflective lines across the chest and over the shoulders.,orange safety vest with reflective lines shoulders
422,👔,Necktie,A necktie commonly worn at work or formal occasions.,necktie commonly worn formal occasions at work or
423,👕,T-Shirt,"A plain t-shirt, that can be worn by men or women. Displayed as a blue polo shirt on iOS, Facebook and Firefox OS. A white t-shirt on Android and Windows, and yellow or green on other platforms.",men or women worn by Facebook and Firefox Android Windows plain t-shirt blue polo shirt
424,👖,Jeans,"Denim jeans, worn by men or women. A popular form of casual trousers worn by the runner emoji in Apple's emoji artwork",Denim jeans men or women worn by Apple emoji artwork
425,🧣,Scarf,Scarf was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,part of Unicode added to Emoji Scarf was approved as
426,🧤,Gloves,Gloves was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,part of Unicode added to Emoji Gloves was approved as
427,🧥,Coat,"A winter jacket, shown in a variety of colors and styles.",winter jacket colors and styles variety of shown
428,🧦,Socks,Socks was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,part of Unicode added to Emoji Socks was approved as
429,👗,Dress,"A pretty dress, suitable for a ball, party or other similar occasion.",pretty dress similar occasion suitable ball party
430,👘,Kimono,A traditional Japanese robe that can be worn by women or men.,traditional Japanese robe women or men worn by
431,🥻,Sari,A brightly colored sari draped in different ways across platforms. Sometimes used to mean a dress in general.,brightly colored sari draped platforms dress in general
432,🩱,One-Piece Swimsuit,A sporty one-piece swimsuit shown in a variety of colors and patterns across different platforms.,sporty one-piece swimsuit shown variety of colors and patterns
433,🩲,Briefs,"Underwear or swim briefs. The swimming variety are often called 'Speedos' after the brand. This emoji is shown in different colors and styles across platforms. Some platforms depict this emoji as tighty whities with a visible fly, while others use a less specific design.",Underwear or swim Speedos' emoji platforms called
434,🩳,Shorts,Shorts or swimming trunks. This emoji is shown in different colors and styles across platforms. Most platforms depict this emoji in a casual sporty style.,Shorts or swimming trunks emoji platforms
435,👙,Bikini,"A two-piece bikini, worn at the beach, pool, or on vacation at a tropical destination.",two-piece bikini tropical destination pool worn beach
436,👚,Woman’s Clothes,A blouse worn by women in a neat-casual setting.,neat-casual setting blouse worn by women
437,👛,Purse,"A small pouch with a clasp, generally used to hold coins. Sometimes called a “coin purse.”",small pouch hold coins clasp generally coin purse
438,👜,Handbag,"A bag or purse, used to carry personal items, often doubling as a fashion accessory.",carry personal items bag or purse fashion accessory
439,👝,Clutch Bag,"A small pouch, somewhere between the size of a handbag, and a purse.",small pouch handbag purse size
440,🎒,Backpack,"A school bag Emoji (also called a satchel) used by children attending school to carry books, lunch, and other personal belongings.",school bag Emoji children attending called a satchel carry books personal belongings
441,🩴,Thong Sandal,"Flip flops, thongs or sandals, but in the singular. A single item of this casual footwear, generally worn to the beach or in warm weather.",Flip flops thongs or sandals singular
442,👞,Man’s Shoe,"A shoe worn by a man, to work, dinner, or another occasion that requires footwear. Unlike womens shoes, this shoe is likely to be comfortable.",requires footwear occasion that dinner shoe worn Unlike womens shoes man work
443,👟,Running Shoe,"A sneaker – a comfortable shoe used in sports such as tennis or golf, or for fashion purposes.",tennis or golf fashion purposes comfortable shoe sneaker
